epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,852.928,2.1028,1.53658,2.82579,0.87546,0.8554,0.93859,0.68866,2.02579,1.09215,2.99173,0.0010496,0.0010496,0.0010496
74,865.968,2.08218,1.49919,2.80314,0.85435,0.87168,0.93226,0.66693,2.00411,1.20978,2.94762,0.0010364,0.0010364,0.0010364
75,876.418,2.09079,1.47855,2.81348,0.84193,0.86726,0.9275,0.66511,1.98115,1.16967,2.94779,0.0010232,0.0010232,0.0010232
76,888.725,2.10255,1.53426,2.82076,0.86287,0.86312,0.93787,0.69358,1.93193,1.07116,2.89661,0.00101,0.00101,0.00101
77,900.69,2.10479,1.50903,2.8266,0.89044,0.89909,0.94479,0.68325,1.99998,1.06827,2.94226,0.0009968,0.0009968,0.0009968
78,912.259,2.05428,1.47603,2.78979,0.85374,0.87818,0.9361,0.66125,2.01092,1.17997,2.97378,0.0009836,0.0009836,0.0009836
79,923.723,2.09373,1.46094,2.8169,0.8649,0.90644,0.94435,0.69536,1.96811,1.03283,2.93562,0.0009704,0.0009704,0.0009704
80,934.272,2.04696,1.42119,2.77849,0.86479,0.88717,0.9405,0.67902,1.98242,1.08412,2.91763,0.0009572,0.0009572,0.0009572
81,945.222,2.02316,1.47421,2.75336,0.81179,0.83973,0.90845,0.62464,2.07682,1.34764,3.01702,0.000944,0.000944,0.000944
82,958.455,2.0864,1.47833,2.80298,0.86083,0.91593,0.94876,0.68817,1.94343,1.04466,2.90117,0.0009308,0.0009308,0.0009308
83,968.961,2.03012,1.41354,2.77048,0.87229,0.87648,0.93726,0.68064,1.93408,1.15972,2.88802,0.0009176,0.0009176,0.0009176
84,979.382,2.0356,1.41913,2.77577,0.87304,0.88274,0.94402,0.68857,1.96874,1.051,2.94136,0.0009044,0.0009044,0.0009044
85,992.264,2.00649,1.41435,2.76339,0.90194,0.87497,0.9525,0.69059,1.92589,1.03683,2.89533,0.0008912,0.0008912,0.0008912
86,1003.55,1.96955,1.38406,2.7336,0.89171,0.89267,0.95175,0.69104,1.94729,1.011,2.90839,0.000878,0.000878,0.000878
87,1014.01,2.05583,1.4707,2.74833,0.902,0.88938,0.95551,0.70889,1.89644,0.99355,2.84638,0.0008648,0.0008648,0.0008648
88,1026.48,1.97068,1.41704,2.77128,0.90679,0.88243,0.95767,0.69889,1.94044,1.00163,2.88764,0.0008516,0.0008516,0.0008516
89,1037.14,2.01172,1.37388,2.7608,0.90202,0.87611,0.95322,0.69169,1.97782,1.06931,2.91452,0.0008384,0.0008384,0.0008384
90,1047.33,2.03234,1.47893,2.80331,0.88349,0.88919,0.95159,0.69321,1.91877,0.99037,2.88107,0.0008252,0.0008252,0.0008252
91,1059.12,2.01378,1.38071,2.72151,0.90926,0.86504,0.95227,0.70054,1.92508,1.01752,2.88113,0.000812,0.000812,0.000812
92,1070.06,1.98895,1.40751,2.72887,0.88681,0.89602,0.95422,0.71148,1.89969,0.99363,2.86396,0.0007988,0.0007988,0.0007988
93,1080.91,1.92816,1.33798,2.70708,0.88934,0.88899,0.95915,0.73268,1.82615,0.97968,2.80913,0.0007856,0.0007856,0.0007856
94,1092.54,1.95796,1.36411,2.71381,0.9145,0.88053,0.9646,0.7039,1.88416,1.03714,2.86239,0.0007724,0.0007724,0.0007724
95,1103.61,1.93276,1.36253,2.71565,0.90202,0.89823,0.96257,0.72028,1.89849,0.96731,2.87055,0.0007592,0.0007592,0.0007592
96,1114.77,1.95961,1.37418,2.70168,0.88729,0.92478,0.96766,0.71675,1.87089,0.94171,2.83555,0.000746,0.000746,0.000746
97,1126.54,1.92644,1.31871,2.69048,0.91247,0.89823,0.95782,0.71243,1.90032,1.0019,2.88404,0.0007328,0.0007328,0.0007328
98,1136.83,1.91015,1.3341,2.66883,0.88791,0.89823,0.95524,0.71899,1.85964,0.98202,2.8235,0.0007196,0.0007196,0.0007196
99,1147.58,1.91327,1.32683,2.70288,0.89851,0.9115,0.95664,0.71446,1.81794,0.96878,2.80674,0.0007064,0.0007064,0.0007064
100,1159.65,1.92427,1.30643,2.70205,0.88458,0.91561,0.96138,0.72144,1.81531,0.92931,2.79272,0.0006932,0.0006932,0.0006932
101,1171,1.85526,1.2829,2.62521,0.93131,0.89981,0.97236,0.72424,1.83978,0.91659,2.81255,0.00068,0.00068,0.00068
102,1181.72,1.89485,1.28904,2.66763,0.92181,0.90487,0.96588,0.71104,1.86316,0.90461,2.83928,0.0006668,0.0006668,0.0006668
103,1193.99,1.87855,1.29523,2.64895,0.90113,0.90741,0.9552,0.73127,1.83678,0.93332,2.80879,0.0006536,0.0006536,0.0006536
104,1204.93,1.87871,1.31228,2.65651,0.90741,0.9115,0.96565,0.73663,1.80873,0.8983,2.76764,0.0006404,0.0006404,0.0006404
105,1215.37,1.83927,1.27065,2.63774,0.95765,0.88938,0.9696,0.73495,1.8048,0.87338,2.78352,0.0006272,0.0006272,0.0006272
106,1226.52,1.88055,1.27749,2.66954,0.91695,0.90385,0.96597,0.73921,1.83209,0.86552,2.79895,0.000614,0.000614,0.000614
107,1237.29,1.88732,1.29153,2.6379,0.93072,0.92136,0.97377,0.74364,1.80856,0.86479,2.77675,0.0006008,0.0006008,0.0006008
108,1247.86,1.95556,1.34271,2.72657,0.92997,0.93142,0.97653,0.72488,1.83186,0.86969,2.82125,0.0005876,0.0005876,0.0005876
109,1259.49,1.84534,1.23843,2.63283,0.95189,0.90929,0.97831,0.7412,1.79734,0.83256,2.78514,0.0005744,0.0005744,0.0005744
110,1269.05,1.85823,1.26304,2.64438,0.91077,0.92257,0.97159,0.72732,1.81849,0.87533,2.81002,0.0005612,0.0005612,0.0005612
111,1279.17,1.86576,1.25644,2.64134,0.95727,0.90487,0.97729,0.73098,1.82443,0.86738,2.81224,0.000548,0.000548,0.000548
112,1291.09,1.87613,1.29348,2.62883,0.94111,0.92478,0.97474,0.73335,1.80915,0.84594,2.81822,0.0005348,0.0005348,0.0005348
113,1301.98,1.803,1.18079,2.61963,0.92687,0.9469,0.97456,0.7327,1.78756,0.8216,2.78284,0.0005216,0.0005216,0.0005216
114,1312.43,1.8427,1.22573,2.62733,0.92726,0.9469,0.98065,0.73606,1.78505,0.82626,2.77387,0.0005084,0.0005084,0.0005084
115,1324.13,1.83066,1.24207,2.61947,0.94035,0.94469,0.97871,0.74172,1.77235,0.82679,2.753,0.0004952,0.0004952,0.0004952
116,1334.5,1.83885,1.21613,2.63075,0.9179,0.91515,0.96971,0.73024,1.76725,0.87987,2.74568,0.000482,0.000482,0.000482
117,1344.18,1.79433,1.18201,2.59171,0.94782,0.92422,0.97838,0.74111,1.74605,0.81755,2.73919,0.0004688,0.0004688,0.0004688
118,1354.25,1.8637,1.26227,2.63669,0.95257,0.93363,0.98281,0.74291,1.76844,0.80992,2.76184,0.0004556,0.0004556,0.0004556
119,1365.24,1.82513,1.25022,2.6111,0.91417,0.919,0.97377,0.73719,1.75703,0.84282,2.748,0.0004424,0.0004424,0.0004424
120,1375.6,1.77609,1.17561,2.57574,0.9312,0.93142,0.97659,0.7329,1.75278,0.82263,2.73651,0.0004292,0.0004292,0.0004292
121,1385.87,1.79112,1.16923,2.5696,0.94442,0.92478,0.97899,0.7479,1.74473,0.81203,2.7252,0.000416,0.000416,0.000416
122,1396.46,1.78059,1.17645,2.57782,0.94532,0.92699,0.97875,0.7486,1.71998,0.81491,2.71945,0.0004028,0.0004028,0.0004028
123,1407.16,1.79027,1.18883,2.59404,0.89181,0.96239,0.97563,0.74911,1.71365,0.82173,2.70925,0.0003896,0.0003896,0.0003896
124,1417.99,1.81165,1.19132,2.58665,0.93143,0.96162,0.9762,0.75167,1.74902,0.78002,2.7458,0.0003764,0.0003764,0.0003764
125,1428.32,1.78208,1.1672,2.55687,0.92167,0.93805,0.97588,0.74886,1.72552,0.80008,2.7226,0.0003632,0.0003632,0.0003632
126,1439.58,1.77748,1.19859,2.59989,0.91918,0.94248,0.97634,0.74896,1.75559,0.81578,2.76333,0.00035,0.00035,0.00035
127,1449.89,1.76621,1.1883,2.55048,0.93579,0.93584,0.97771,0.74566,1.74037,0.80265,2.73897,0.0003368,0.0003368,0.0003368
128,1460.8,1.7178,1.13803,2.54317,0.94472,0.9292,0.98201,0.75176,1.72773,0.79998,2.7252,0.0003236,0.0003236,0.0003236
129,1473.17,1.76714,1.16441,2.5656,0.93681,0.91841,0.97587,0.74106,1.74896,0.81625,2.75646,0.0003104,0.0003104,0.0003104
130,1483.12,1.75455,1.11859,2.56124,0.92001,0.9161,0.97181,0.73788,1.72839,0.83292,2.72868,0.0002972,0.0002972,0.0002972
131,1493.69,1.71065,1.11399,2.52955,0.93659,0.94774,0.98154,0.75012,1.73258,0.76138,2.7228,0.000284,0.000284,0.000284
132,1504.51,1.75593,1.12693,2.54865,0.97066,0.95147,0.98807,0.75771,1.73798,0.74968,2.7305,0.0002708,0.0002708,0.0002708
133,1517.99,1.77721,1.16163,2.57894,0.95274,0.90708,0.97793,0.75526,1.7234,0.79785,2.72139,0.0002576,0.0002576,0.0002576
134,1539.16,1.71287,1.11036,2.54467,0.96403,0.90044,0.97803,0.7598,1.73827,0.77171,2.72533,0.0002444,0.0002444,0.0002444
135,1557.79,1.71883,1.11638,2.53181,0.97557,0.90708,0.98256,0.76881,1.69135,0.76395,2.67178,0.0002312,0.0002312,0.0002312
136,1574.53,1.70888,1.11031,2.52578,0.94846,0.93642,0.98255,0.74529,1.71886,0.7903,2.71733,0.000218,0.000218,0.000218
137,1588.91,1.69839,1.07631,2.50733,0.95354,0.92478,0.98326,0.75534,1.70718,0.77671,2.72683,0.0002048,0.0002048,0.0002048
138,1602.86,1.6839,1.13733,2.50248,0.93031,0.94502,0.98285,0.75728,1.70861,0.76589,2.71769,0.0001916,0.0001916,0.0001916
139,1617.15,1.72292,1.15504,2.53641,0.95448,0.92771,0.98139,0.75219,1.69212,0.78115,2.69461,0.0001784,0.0001784,0.0001784
140,1630.28,1.7037,1.1144,2.50921,0.94315,0.92699,0.9798,0.75565,1.67846,0.79257,2.68375,0.0001652,0.0001652,0.0001652
141,1654.73,1.48101,0.8258,2.42591,0.93231,0.93584,0.97914,0.75863,1.69791,0.78662,2.69669,0.000152,0.000152,0.000152
142,1669.95,1.41492,0.7113,2.3762,0.95143,0.93584,0.98149,0.75818,1.7135,0.77242,2.7156,0.0001388,0.0001388,0.0001388
143,1683.27,1.39471,0.68083,2.36015,0.93541,0.94248,0.98189,0.76865,1.66685,0.77565,2.6729,0.0001256,0.0001256,0.0001256
144,1700.29,1.38484,0.69596,2.34039,0.94412,0.93441,0.98066,0.76314,1.67282,0.79098,2.6897,0.0001124,0.0001124,0.0001124
145,1715.33,1.40263,0.68358,2.34761,0.95205,0.9224,0.98113,0.76615,1.66887,0.78194,2.69074,9.92e-05,9.92e-05,9.92e-05
146,1730.68,1.40531,0.69609,2.3565,0.94587,0.92792,0.98096,0.7707,1.67061,0.76249,2.68748,8.6e-05,8.6e-05,8.6e-05
147,1747,1.38392,0.66818,2.34431,0.93757,0.94248,0.98261,0.77376,1.6657,0.75642,2.67613,7.28e-05,7.28e-05,7.28e-05
148,1762.86,1.3555,0.6649,2.33373,0.92834,0.94578,0.9802,0.76986,1.65175,0.76217,2.67356,5.96e-05,5.96e-05,5.96e-05
149,1778.17,1.35619,0.67336,2.33426,0.94489,0.93142,0.98149,0.76941,1.6499,0.75747,2.66704,4.64e-05,4.64e-05,4.64e-05
150,1793.04,1.34557,0.64509,2.31769,0.93242,0.94632,0.98298,0.76829,1.65668,0.76867,2.66799,3.32e-05,3.32e-05,3.32e-05
